Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Design,04/11/2022,24/03/2023,140,1089550,869220,0,-0.20
Scope,07/08/2024,07/12/2024,122,4987,1877,0,-0.62
Design,07/12/2024,01/09/2025,268,22442,7506,0,-0.67
Design,14/07/2023,13/02/2024,214,41594,47774,1,0.15
Design,11/01/2023,04/01/2025,724,565854,306836,0,-0.46
Scope,31/10/2018,01/10/2019,335,297170,321648,1,0.08
Design,16/01/2019,30/03/2021,804,1485850,997353,0,-0.33
Scope,24/04/2023,14/12/2023,234,302501,218819,0,-0.28
Design,26/12/2023,15/05/2024,141,1512501,892051,0,-0.41
Scope,27/05/2020,19/06/2020,23,3269,4468,1,0.37
Design,19/06/2020,16/12/2020,180,14710,17872,1,0.21
Scope,13/09/2022,19/12/2022,97,13200,12718,0,-0.04
Design,21/12/2022,07/11/2023,321,59400,50866,0,-0.14
Scope,25/07/2024,29/07/2024,4,4134,1123,0,-0.73
Design,29/07/2024,01/09/2025,399,18602,4492,0,-0.76
Scope,10/06/2022,20/10/2022,132,4900,3643,0,-0.26
Design,20/10/2022,18/01/2023,90,22050,14571,0,-0.34
Scope,03/02/2021,11/05/2021,97,23406,27432,1,0.17
Design,11/09/2021,05/09/2022,359,116471,119742,1,0.03
Construction,15/05/2023,18/06/2025,765,2572569,2082163,0,-0.19
Scope,27/01/2023,19/04/2023,82,8380,15725,1,0.88
Design,24/04/2023,28/08/2023,126,37710,48107,1,0.28
Construction,03/05/2024,06/10/2025,521,486040,503135,1,0.04
Scope,29/04/2021,17/11/2021,202,210430,167565,0,-0.20
Design,17/11/2021,21/10/2022,338,1052150,461665,0,-0.56
Scope,26/07/2024,29/07/2024,3,3769,1698,0,-0.55
Design,29/07/2024,01/09/2025,399,16961,6791,0,-0.60
Scope,27/02/2023,14/12/2023,290,613798,342863,0,-0.44
Design,01/10/2024,23/08/2024,39,2864394,1531815,0,-0.47
Scope,18/05/2021,14/01/2022,241,80048,192462,1,1.40
Design,02/02/2022,05/09/2022,215,395977,289377,0,-0.27
Scope,17/10/2022,11/10/2022,6,3672,2595,0,-0.29
Design,11/10/2022,18/01/2023,99,16523,10380,0,-0.37
Scope,13/06/2024,16/10/2024,125,63053,63053,1,0.00
Design,17/10/2024,03/07/2025,259,179439,179439,1,0.00
Scope,04/04/2024,16/04/2024,12,4160,2815,0,-0.32
Design,16/04/2024,24/09/2024,161,18720,11264,0,-0.40
Scope,09/11/2025,30/09/2025,40,5982,544,0,-0.91
